80333f35 10Year
13957154 2012_Channel
1f037d8e 2012_Channel_Windup
ad33f9f3 2013_Dance
932ad59d 2013_Run_Haste
a5ab3ea6 2013_Spell4
1fd867b9 3001
a3db761c 3011
30d4054e 3026
35d64bc4 3033
a0cea570 3046
acd0f6eb 3050
9fca26af 3065
9fcc6546 3071
9ecc63b3 3072
a3cc6b92 3075
adeccefb 3083
b3ecd86d 3085
a7ecc589 3089
b3ef1704 3091
b0ef124b 3094
afef10b8 3095
9ead00d1 3100
9cacfdab 3102
9fad0264 3107
95acf2a6 3109
98aab8c8 3110
9daac0a7 3115
9eaac23a 3116
94b77e6f 3142
93b77cdc 3143
13b474c5 3153
0fb46e79 3157
9dbc09c8 3165
95b9be99 3179
8d995e56 3181
8b971c99 3193
cbaf229c 3222
d5f87a91 3504
d1f87445 3508
65d27dc9 3742
98fe8e5b 3814
0ee9886a 4401
0ce98544 4403
af0554ed 4628
ae05535a 4629
20023539 4637
e5265b9c 6333
8f0b673a 6609
80091106 6616
1303e841 6675
1003e388 6676
0ef4d76b 6695
e11907d7 AABonusDamage
4724fc58 AD
5119f0ff ADBonus
6f82dfe9 ADCoefficient
44a32c79 ADDamage
295b5980 ADDamageCalc
8130678d ADPerRank
f1d43b01 ADPerStack
382d671b ADRatio
6965dfde ADRatioBonus
71cf0419 ADRatioForAOE
6a5c7033 ADRatioMax
80701a8d ADRatioMin
ecb4e82f ADRatioPerTick
02c8656b ADRatioTT
8126d356 ADRequiredTooltipOnly
e476601d ADScaling
58b72918 ADToHPRatio
1b25585c ALT
3ef0480f AMMORECHARGETIME
5b251bd4 AP
8478a4c5 APDamage
a7cf607b APFromMana
b4a9e7a4 APPerGlory
6a7405a1 APPerRank
e30c799f APRatio
0c6e5c66 APRatioFullDuration
47b9abba APRatioPerSecond
ad23e4de APRatioPerStack
f328829b APRatioPerTick
86bcfb2e APRatioTick
e78fad4a APRatioToPercentDamage
eaef1b9e APRatioTooltip
8f061404 ARAM
8cfa2136 ARAMHealthPickup
41cd4d95 ARAMHealthPickup_Dawn
225706b3 ARAMHealthPickup_Night
6399c7f4 ARAM_InWallParticle
a5d9189b ARSR
5e25208d AS
dbe35112 ASBoostMax
c5cfa6b8 ASBoostMin
159f78f0 ASCENSION
92b5a83e ASMultiplier
99b089f2 ASPerRank
f6e337bc ASSASSINATE
c1e2c320 A_Attack1
e2a8e9cf A_Attack1_to_Idle
6984e1b5 A_Attack1_to_Run1
6684dcfc A_Attack1_to_Run2
c4e2c7d9 A_Attack2
9a77147a A_Attack2_to_Idle
7a6cd17f A_Idle_In
ffda2e55 A_Run_Fast
d0217b7d A_Run_Homeguard
d911fe6c A_Spell1_Activate
929d3d69 A_Spell1_Attack1_-90
a294f384 A_Spell1_Attack1_180
b161fbfc A_Spell1_Attack1_90
0cab95bc A_Spell1_Attack2_-90
007ca7a1 A_Spell1_Attack2_180
6b07fdab A_Spell1_Attack2_90
7d589e47 A_Spell1_Idle
68afeba7 A_Spell1_Idle_In
a87edc9e A_Spell1_Run
40ad62e0 A_Spell1_Run_In
d04c86cd A_Spell2
08622d66 A_Spell2_to_Idle
d7977f39 A_Spell2_to_Run
b4e9f9e4 Aatrox_AA_Crit_Hit_Tar
f90433dd Aatrox_AA_Crit_Trail
c705f0cc Aatrox_AA_Trail_01
ca05f585 Aatrox_AA_Trail_02
c905f3f2 Aatrox_AA_Trail_03
28877e44 Aatrox_Dance_Ground
3cdd0eb4 Aatrox_Death_ambers
ad8bf4af Aatrox_E_Active_buff
5d147eae Aatrox_E_Buf_Sword
03860473 Aatrox_E_Dash
ccf8b253 Aatrox_E_Dash2
664a4598 Aatrox_E_Dash_trail
369dbc1d Aatrox_E_Heal
45f48a8b Aatrox_P_Activate
2e7dc551 Aatrox_P_Attack_trail
c98bf144 Aatrox_P_Debuff
cacdc6ab Aatrox_P_Hit_Tar
3f2a06b1 Aatrox_P_Ready
4c9f7541 Aatrox_Passive_Sheathe_Sword
b292aa68 Aatrox_Q_Hit_Tar
08387c6a Aatrox_Q_Indicator_01
7e3c2699 Aatrox_Q_Indicator_01_Ally
07387ad7 Aatrox_Q_Indicator_02
b6b89046 Aatrox_Q_Indicator_02_Ally
06387944 Aatrox_Q_Indicator_03
7aa2d4f3 Aatrox_Q_Indicator_03_Ally
01ab733b Aatrox_Q_Sweet_hit_tar
788a0735 Aatrox_Q_Trail_01
758a027c Aatrox_Q_Trail_02
768a040f Aatrox_Q_Trail_03
1d6dd313 Aatrox_Q_cas1
1e6dd4a6 Aatrox_Q_cas2
1f6dd639 Aatrox_Q_cas3
8999e5b2 Aatrox_Q_knockup_Hexagon_child
adf89a9a Aatrox_R_Attack_01
acf89907 Aatrox_R_Attack_02
b29a0406 Aatrox_R_Fear
245c169a Aatrox_R_Halo
79522de8 Aatrox_R_Revive_Diration_Sword
63912f5a Aatrox_R_Revive_Duration
c8826793 Aatrox_R_Revive_end
a08494ba Aatrox_R_SpeedBuff
4b2962bc Aatrox_Recall_Beam
390c324c Aatrox_Recall_Ground
fc4f958a Aatrox_Recall_Hand_glow
c4a1ed95 Aatrox_Recall_Weapon_glow
15c521b2 Aatrox_Skin02_Recall_Sword
0fb3d0fd Aatrox_Taunt_Ground
d4169892 Aatrox_W_Beam_Tar
aeabc40a Aatrox_W_Beam_Tar_Break
94355808 Aatrox_W_Beam_Tar_Pull
be06f3a2 Aatrox_W_Cas
f792bbba Aatrox_W_Core
e3dc3792 Aatrox_W_Core_Area
a6431cec Aatrox_W_Core_End
62112686 Aatrox_W_Hand_glow_cas
b1b7bba2 Aatrox_W_Hit_Tar
005bf1ec Aatrox_W_mis
b3e1a182 Aatrox_Z_DianaMaskGlow
a39f5d88 Aatrox_Z_EyeGlow
508e82b7 Aatrox_Z_FloorSlash
768419e6 Aatrox_Z_FloorSlashDirt
ea7c1b8b Aatrox_Z_IdleGlow
dded8951 Aatrox_Z_IdleSparkles
dc5332e8 Aatrox_Z_RecallBuff
81b96be7 Aatrox_Z_RecallHits
74fa6c30 Aatrox_Z_RecallMaskTrails
19d392bb AbilityHasteMythicPassive
7c408434 AbilityPowerMax
6a2b4d26 AbilityPowerMin
a593637d AbilityResourceThresholdIndicator_Moonlight
8be259f9 Absorbed
230eacfb ActionMask
3f434070 Activate
d9547c40 ActivationDelay
ef1820ba ActivationDistance
d975992f Active
0b31873d ActiveADToArmorRatio
682f991b ActiveAPToMRRatio
67b851b1 ActiveBADRatio
d928f29f ActiveBaseDamage
6721e4a1 ActiveBaseResists
1e8d73fe ActiveDamage
cc1d21f3 ActiveExecutePercent
481ba086 ActiveMaxDamage
3ff396be ActiveMaxStacks
10364260 ActivePerStackAmp
f8c35e47 ActiveTotalExecuteDamage
2d3bdaf2 ActualCooldown
986561b6 ActualDamage
8298075e AdaptiveAD
969826da AdaptiveAP
6f039626 AdaptiveForce
14d5f8b0 AdditionalADRatio
3be361c4 AdditionalBaseDamage
9b62b1ba AdditionalBonusCalc
a4948451 AdditionalChunkHealing
026fdafd AdditionalDamage
a0dcaa4c AdditionalMovementSpeed
9738309b AdditionalSlowPercentAtMax
7956b39f AdditionalStunDurationOverTime
7a54fa42 AdditionalTargets
06a6a0a5 Additive
dc225a69 Additive_Buffbone
48198e2b Addturn
8ec1277e Adjust
23c6a259 AfterburnerTimeTooltip
908e2cdf AftershockAPRatio
fadb2e80 AftershockDamage
2cd62ab4 AftershockMinionMulti
3fb502ed Aggro
dd631e80 Aggro_Idle
5e9bec6f Ahri_BA_mis
52033543 Ahri_BA_tar
dc5a39d7 Ahri_Boots_HG_Avatar
20239a64 Ahri_Boots_Homeguard
49a30a12 Ahri_Death_01
8b2eae78 Ahri_EM_laugh_01
86793cbf Ahri_E_buf
fe3db783 Ahri_E_cas
be632239 Ahri_E_mis
9ef9fe3d Ahri_E_tar
54aa3fd2 Ahri_HandGlow
1d05f47a Ahri_HandPixels
7e5d94f2 Ahri_I_Orb_mat
32f020e7 Ahri_I_Orb_mat_child
07958918 Ahri_I_tailDust
1b0bbcbf Ahri_Idle1
1f3436c7 Ahri_Orb
db30dfb9 Ahri_Orb_cas
5421f896 Ahri_P
c442a7b9 Ahri_P_Heal
b8cf5144 Ahri_P_SoulCrusher_buf_01
e437e482 Ahri_P_tar
3c7ee03f Ahri_Q_Cas
0ae4bb15 Ahri_Q_Speed
41087c9d Ahri_Q_mis
9cdc6ff0 Ahri_Q_mis_02
364c5db1 Ahri_Q_tar
e3b92bd4 Ahri_Q_tar_02
cb2f43ef Ahri_R_BodyOverlay_01
11373c32 Ahri_R_Mis_child01
79ef0960 Ahri_R_Ready_tar
4b6eba64 Ahri_R_Tar
e93cb957 Ahri_R_Tumblekick_tar_02
23610036 Ahri_R_cas
3ed79638 Ahri_R_mis
07b5b707 Ahri_R_mis_02
d8bfa33e Ahri_Recall_Arm_L01
bf0854bc Ahri_Recall_Arm_R01
a2c0b971 Ahri_Recall_Chest_01
5b5442ae Ahri_Recall_Heart_01
ec8f168e Ahri_Recall_Leg_01
eb8f14fb Ahri_Recall_Leg_02
f942c7a0 Ahri_Recall_Love
cada395e Ahri_Recall_PixelBurst
cc316928 Ahri_Recall_PowerBeam_01
8c6f90a4 Ahri_Recall_Screen
